상품 순, 판매점, 상품명, 가격
1, 이마트몰, 노브랜드 국산콩두부300g*2입, 3280원
2, 이마트몰, 제주삼다수 그린 2L 6병, 6480원
3, 이마트몰, 파머스픽 성주참외 1.2kg/봉, 12980원
4, 이마트몰, 노브랜드 도톰한 물티슈 100매, 980원
5, 이마트몰, [농심] 올리브 짜파게티 (140gx5입), 4880원
6, 이마트몰, 노브랜드 굿모닝 굿밀크 1L(한정물량 생산으로 조기품절 가능), 1790원
7, 신세계몰, [공식인증점]  메타 퀘스트2 VR 256GB, 599000원
8, 이마트몰, 애호박(개), 1980원
9, 신세계백화점, [공식] 헬렌카민스키 비앙카 HUSHE100110, 221000원
10, 이마트몰, [농심] 신라면 120gx5입, 4100원
11, 이마트몰, 노브랜드 미네랄워터 2L*6, 1980원
12, 이마트몰, 이맛쌀 20kg, 49900원
13, 이마트몰, CJ 비비고 한섬만두320g, 5980원
14, 이마트몰, 노브랜드 국산콩 콩나물 300g, 1280원
15, 이마트몰, A)파머스픽 흙대파(봉), 2980원
16, 신세계몰, ★ 20mm 롱 배럴추가증정★무이자12개월 / 월 62417원 ★다이슨 에어랩™ 멀티 스타일러 컴플리트(니켈/코퍼), 749000원
17, 이마트몰, 팔도비빔면 130g*4개, 2980원
18, 이마트몰, [노브랜드] 크라비 맛살 150g, 1880원
19, 신세계백화점, [LG][공식판매점]LG 휘센 제습기 DQ202PGUA(20L/신발건조키트포함), 604808원
20, 이마트몰, 꿈꾸는콩 촌두부 550G, 1950원
21, 이마트몰, 동서 포스트 콘푸라이트 위글위글 기획, 9980원
22, 이마트몰, [농심] 육개장 사발면 (86gx6입), 5040원
23, 이마트몰, (A)양파(1.8kg/망), 5980원
24, 신세계몰, [즉시할인+청구할인] NEW 갤럭시 A34 자급제 128GB/신규런칭/당일발송+유튜브프리미엄(2개월)+윌라(2개월)/삼성페이, 464442원
25, 이마트몰, [노브랜드][냉동] 삼겹살 바로구이 (1000g), 12980원
26, 신세계몰, ★무이자 12개월 / 월 62417원 ★다이슨 에어랩™ 멀티 스타일러 컴플리트 롱(빈카블루/로제), 749000원
27, 이마트몰, 파머스픽 팽이버섯(3입/봉), 1980원
